Open,High,Low,Close,Adj Close,Volume
8814.849609375,8841.7998046875,8780.0,8804.150390625,8804.150390625,0
8805.400390625,8835.0,8800.0,8817.9501953125,8817.9501953125,57870
8818.0,8820.25,8790.0,8794.7001953125,8794.7001953125,84083
8794.2998046875,8794.7001953125,8730.5,8742.4501953125,8742.4501953125,71124
8742.0,8742.650390625,8701.0,8701.9501953125,8701.9501953125,52993
8690.0498046875,8725.0,8684.5,8701.5,8701.5,76070
8701.4501953125,8724.0,8690.0,8704.7998046875,8704.7998046875,25468
8698.7001953125,8798.5,8667.4501953125,8779.150390625,8779.150390625,0
8779.150390625,8780.0498046875,8750.2001953125,8760.0,8760.0,51085
8759.5498046875,8760.0,8698.2998046875,8721.099609375,8721.099609375,65333
8721.099609375,8721.099609375,8701.0498046875,8707.900390625,8707.900390625,36258
8707.25,8713.4501953125,8685.0,8704.7998046875,8704.7998046875,55501
8703.099609375,8729.2998046875,8691.0498046875,8725.0,8725.0,79328
8724.849609375,8727.900390625,8705.5498046875,8715.849609375,8715.849609375,39368
8775.5,8812.349609375,8775.099609375,8799.0,8799.0,0
8798.2998046875,8865.0,8797.0,8837.2001953125,8837.2001953125,87442
8837.2001953125,8841.0,8792.0,8804.5,8804.5,62695
8805.0,8810.2001953125,8780.0,8780.0,8780.0,47993
8780.0,8791.0,8764.2001953125,8777.7998046875,8777.7998046875,44743
8777.849609375,8783.0,8745.0,8745.0,8745.0,52425
8745.0,8749.349609375,8720.2001953125,8749.0498046875,8749.0498046875,23007
8785.0,8829.0,8751.599609375,8813.099609375,8813.099609375,0
8813.099609375,8831.900390625,8751.349609375,8753.0498046875,8753.0498046875,42188
8754.9501953125,8770.0,8742.0,8750.7001953125,8750.7001953125,37996
8750.7001953125,8757.0,8730.2998046875,8732.0,8732.0,46131
8732.0,8748.4501953125,8722.0498046875,8735.0,8735.0,45024
8733.099609375,8800.0,8732.150390625,8795.0,8795.0,114392
8794.849609375,8826.150390625,8794.849609375,8820.0,8820.0,61042
8848.7001953125,8888.849609375,8821.5,8849.0,8849.0,0
8847.900390625,8879.0,8847.2001953125,8865.0,8865.0,62707
8865.9501953125,8867.400390625,8825.0,8835.849609375,8835.849609375,38549
8836.0,8838.0,8804.349609375,8809.0,8809.0,53351
8809.0,8843.0,8792.099609375,8839.0,8839.0,64313
8838.2998046875,8840.5,8823.400390625,8838.5,8838.5,56864
8833.0,8838.599609375,8821.2001953125,8830.9501953125,8830.9501953125,29991
8828.5,8858.5498046875,8766.4501953125,8797.599609375,8797.599609375,0
8794.0,8820.0,8722.0,8722.0,8722.0,43304
8721.0,8726.900390625,8665.7001953125,8674.7001953125,8674.7001953125,57278
8674.9501953125,8716.150390625,8660.5498046875,8708.0,8708.0,87026
8708.0,8709.0,8490.5498046875,8544.0,8544.0,174973
8544.0,8654.9501953125,8532.5,8616.7998046875,8616.7998046875,167047
8615.0,8621.599609375,8604.900390625,8621.599609375,8621.599609375,38311
8622.0498046875,8622.0498046875,8473.9501953125,8591.900390625,8591.900390625,0
8590.9501953125,8614.849609375,8550.849609375,8570.5,8570.5,58999
8570.4501953125,8575.0,8557.5498046875,8566.349609375,8566.349609375,48252
8566.2998046875,8566.2998046875,8537.0,8560.0,8560.0,60033
8560.0,8565.0,8541.0,8553.25,8553.25,62231
8553.5,8560.0,8515.5,8534.7001953125,8534.7001953125,53486
8534.7998046875,8536.0,8505.150390625,8510.9501953125,8510.9501953125,34841
8560.0,8614.650390625,8515.75,8539.0,8539.0,0
8539.0,8548.0,8502.150390625,8514.9501953125,8514.9501953125,78072
8514.9501953125,8559.0,8510.099609375,8541.0,8541.0,54672
8540.0,8556.0,8470.400390625,8543.5,8543.5,100005
8544.5,8563.7998046875,8519.0498046875,8535.0,8535.0,68596
8538.0,8703.9501953125,8469.849609375,8654.5498046875,8654.5498046875,757138
8655.0,8665.2001953125,8628.2998046875,8658.099609375,8658.099609375,86985
8738.849609375,8770.099609375,8630.2001953125,8676.900390625,8676.900390625,0
8678.0,8728.0498046875,8678.0,8710.0,8710.0,138629
8709.0,8713.599609375,8670.2998046875,8683.349609375,8683.349609375,79083
8681.650390625,8725.900390625,8675.0,8714.7998046875,8714.7998046875,59784
8714.7998046875,8723.7998046875,8672.599609375,8714.099609375,8714.099609375,55321
8711.150390625,8730.0,8687.900390625,8715.650390625,8715.650390625,119315
8719.25,8726.0,8710.0,8721.0498046875,8721.0498046875,40084
8765.0,8942.900390625,8764.7001953125,8795.0,8795.0,0
8794.9501953125,8829.849609375,8730.5,8812.400390625,8812.400390625,93933
8812.400390625,8814.0,8773.75,8783.0,8783.0,40101
8782.0,8814.0,8751.0,8799.900390625,8799.900390625,56843
8799.900390625,8812.0498046875,8767.75,8772.9501953125,8772.9501953125,37377
8773.0,8804.650390625,8750.0,8763.5,8763.5,119303
8763.650390625,8784.9501953125,8759.349609375,8767.2998046875,8767.2998046875,76692
8863.0,9080.0,8822.75,9019.9501953125,9019.9501953125,0
9020.0,9020.0,8932.2998046875,8940.0,8940.0,127371
8939.099609375,8970.0498046875,8905.0498046875,8937.0,8937.0,98772
8938.7998046875,8997.5498046875,8924.599609375,8988.349609375,8988.349609375,91565
8988.349609375,9025.0,8960.0,9010.0,9010.0,102408
9010.0,9021.0,8985.0498046875,9008.400390625,9008.400390625,134393
9010.0,9015.0,8973.7001953125,9003.400390625,9003.400390625,48981
8970.0,9024.0,8954.0498046875,8978.650390625,8978.650390625,0
8975.099609375,9022.7001953125,8971.0,8988.9501953125,8988.9501953125,52184
