Open,High,Low,Close,Adj Close,Volume
18838.69921875,18972.0,18757.5,18862.94921875,18862.94921875,0
18862.900390625,18880.0,18780.0,18833.599609375,18833.599609375,5786
18838.75,18879.80078125,18800.0,18822.599609375,18822.599609375,4163
18821.94921875,18847.099609375,18690.05078125,18700.0,18700.0,6932
18700.0,18701.94921875,18618.849609375,18630.099609375,18630.099609375,3583
18639.05078125,18650.0,18552.55078125,18590.0,18590.0,9462
18599.94921875,18650.0,18576.05078125,18650.0,18650.0,4851
18568.75,18640.80078125,18377.05078125,18427.099609375,18427.099609375,0
18427.05078125,18487.44921875,18392.150390625,18401.0,18401.0,4136
18410.75,18410.75,18226.44921875,18301.099609375,18301.099609375,9030
18301.05078125,18341.5,18274.849609375,18314.94921875,18314.94921875,4289
18314.400390625,18324.0,18290.0,18320.0,18320.0,2568
18318.0,18399.94921875,18292.099609375,18387.5,18387.5,9032
18385.900390625,18392.94921875,18356.0,18377.69921875,18377.69921875,5227
18550.0,18550.0,18250.0,18505.0,18505.0,0
18505.0,18572.400390625,18505.0,18564.0,18564.0,9675
18554.25,18660.0,18554.25,18614.349609375,18614.349609375,7439
18611.0,18628.94921875,18582.599609375,18604.55078125,18604.55078125,3426
18604.5,18624.849609375,18580.0,18609.0,18609.0,3136
18608.94921875,18633.150390625,18585.55078125,18612.5,18612.5,6844
18609.30078125,18636.94921875,18570.849609375,18617.099609375,18617.099609375,4624
18600.0,18768.0,18593.75,18761.099609375,18761.099609375,0
18760.0,18790.0,18655.0,18676.25,18676.25,3299
18684.80078125,18694.19921875,18637.599609375,18669.75,18669.75,2936
18669.69921875,18690.0,18628.55078125,18677.25,18677.25,2886
18667.05078125,18715.0,18600.349609375,18683.849609375,18683.849609375,6325
18689.099609375,18880.0,18689.099609375,18880.0,18880.0,15986
18880.94921875,18889.94921875,18817.5,18839.94921875,18839.94921875,10728
18907.75,19082.44921875,18882.0,18918.80078125,18918.80078125,0
18918.80078125,18932.0,18835.55078125,18853.150390625,18853.150390625,5857
18855.0,18907.349609375,18854.0,18895.75,18895.75,5058
18895.75,18995.0,18876.5,18983.55078125,18983.55078125,6618
18983.5,19005.0,18900.0,18957.25,18957.25,11979
18948.650390625,19009.0,18875.0,18984.650390625,18984.650390625,14374
18984.599609375,19010.0,18961.55078125,18988.94921875,18988.94921875,6860
18988.69921875,19010.0,18794.30078125,18830.0,18830.0,0
18833.80078125,18833.80078125,18746.099609375,18764.69921875,18764.69921875,3759
18755.099609375,18798.30078125,18712.05078125,18739.849609375,18739.849609375,5015
18739.849609375,18800.0,18720.0,18781.44921875,18781.44921875,5060
18790.0,18808.0,18763.0,18795.349609375,18795.349609375,3036
18792.80078125,18825.0,18740.0,18746.0,18746.0,8175
18742.80078125,18776.69921875,18742.349609375,18757.55078125,18757.55078125,3004
18766.099609375,18766.099609375,18285.0,18307.650390625,18307.650390625,21416
18308.650390625,18336.0,18250.25,18330.0,18330.0,31875
18330.0,18500.0,18330.0,18424.900390625,18424.900390625,15920
18411.5,18519.900390625,18400.0,18499.80078125,18499.80078125,10287
18500.0,18531.80078125,18488.69921875,18526.5,18526.5,7375
18516.599609375,18538.94921875,18500.0,18522.44921875,18522.44921875,9327
18530.69921875,18534.94921875,18500.0,18509.5,18509.5,7318
18535.900390625,18614.400390625,18499.05078125,18546.69921875,18546.69921875,0
18550.0,18669.0,18539.650390625,18580.0,18580.0,5713
18595.69921875,18600.0,18537.55078125,18548.599609375,18548.599609375,4094
18548.599609375,18572.099609375,18483.05078125,18527.099609375,18527.099609375,8125
18520.150390625,18530.400390625,18350.0,18425.75,18425.75,7910
18436.30078125,18548.0,18421.0,18540.44921875,18540.44921875,8202
18540.44921875,18581.650390625,18535.0,18541.900390625,18541.900390625,3700
18575.0,18649.0,18460.0,18638.650390625,18638.650390625,0
18630.650390625,18999.849609375,18472.0,18710.55078125,18710.55078125,37087
18710.650390625,19100.0,18681.650390625,19100.0,19100.0,27979
19089.19921875,19342.0,19076.25,19243.5,19243.5,27181
19250.0,19257.5,18960.19921875,19071.19921875,19071.19921875,13687
19072.849609375,19146.80078125,18970.0,19138.94921875,19138.94921875,10067
19138.94921875,19166.599609375,19026.849609375,19112.400390625,19112.400390625,5299
19112.400390625,19423.05078125,19112.400390625,19185.0,19185.0,0
19185.0,19240.0,19094.0,19123.44921875,19123.44921875,17234
19122.349609375,19130.0,19007.150390625,19024.900390625,19024.900390625,9277
19015.849609375,19130.0,19001.05078125,19088.5,19088.5,13056
19075.75,19231.25,19072.0,19201.75,19201.75,14330
19189.44921875,19389.94921875,19180.05078125,19350.0,19350.0,28535
19350.0,19410.0,19330.0,19359.099609375,19359.099609375,13318
19367.0,19500.0,19252.0,19368.19921875,19368.19921875,0
19379.900390625,19379.900390625,19255.05078125,19339.099609375,19339.099609375,6408
19349.44921875,19350.0,19255.0,19294.30078125,19294.30078125,3974
19301.0,19330.0,19219.0,19230.0,19230.0,4696
19237.849609375,19239.0,19110.0,19125.19921875,19125.19921875,10519
19142.0,19310.0,19112.0,19300.0,19300.0,16397
19299.94921875,19300.0,19211.0,19255.19921875,19255.19921875,7637
19300.19921875,19500.0,19300.19921875,19305.0,19305.0,0
19305.0,19430.0,19305.0,19376.05078125,19376.05078125,4451
19376.099609375,19417.400390625,19330.900390625,19367.30078125,19367.30078125,3095
19367.30078125,19378.0,19310.0,19364.900390625,19364.900390625,3705
19356.05078125,19480.0,19351.0,19450.0,19450.0,7415
19450.0,19501.0,19420.80078125,19493.94921875,19493.94921875,18206
