Open,High,Low,Close,Adj Close,Volume
19798.94921875,20026.400390625,19798.94921875,19968.44921875,19968.44921875,0
19980.0,20099.0,19958.80078125,19985.44921875,19985.44921875,3268
19975.400390625,20014.69921875,19902.05078125,19945.44921875,19945.44921875,1453
19947.30078125,19998.69921875,19912.19921875,19952.0,19952.0,1159
19964.0,20040.0,19950.0,20023.599609375,20023.599609375,1592
20024.400390625,20060.0,19987.05078125,20050.0,20050.0,3558
20050.0,20099.0,20005.0,20055.69921875,20055.69921875,1740
19980.0,20187.0,19911.849609375,20037.150390625,20037.150390625,0
20050.25,20149.900390625,20050.25,20125.44921875,20125.44921875,2212
20125.400390625,20136.69921875,20024.94921875,20064.80078125,20064.80078125,2229
20061.69921875,20096.0,20021.30078125,20069.0,20069.0,1175
20056.25,20110.0,20030.349609375,20099.69921875,20099.69921875,981
20088.69921875,20109.30078125,20040.44921875,20065.0,20065.0,2600
20051.44921875,20091.25,20010.400390625,20045.0,20045.0,1802
20290.0,20326.0,20150.349609375,20300.0,20300.0,0
20300.0,20329.0,20293.349609375,20317.150390625,20317.150390625,1876
20317.150390625,20375.0,20290.0,20325.44921875,20325.44921875,1708
20338.0,20365.0,20307.5,20346.5,20346.5,2052
20345.0,20374.25,20230.0,20258.69921875,20258.69921875,4852
20237.5,20263.849609375,20145.0,20237.0,20237.0,2740
20240.0,20245.5,20120.05078125,20208.19921875,20208.19921875,1516
20208.19921875,20389.599609375,20101.0,20356.0,20356.0,0
20351.94921875,20359.900390625,20280.0,20317.5,20317.5,2122
20308.55078125,20330.0,20271.599609375,20289.400390625,20289.400390625,885
20283.25,20300.099609375,20215.0,20275.0,20275.0,2341
20275.0,20338.94921875,20260.0,20312.69921875,20312.69921875,3081
20317.150390625,20449.099609375,20303.0,20414.400390625,20414.400390625,4581
20423.55078125,20510.0,20412.150390625,20442.94921875,20442.94921875,3157
20449.0,20633.900390625,20395.25,20419.0,20419.0,0
20429.5,20497.55078125,20351.0,20396.80078125,20396.80078125,3132
20396.80078125,20420.0,20351.0,20385.150390625,20385.150390625,4162
20400.0,20410.0,20357.55078125,20390.05078125,20390.05078125,1826
20400.0,20811.900390625,20375.150390625,20791.150390625,20791.150390625,14699
20794.599609375,20887.05078125,20550.05078125,20759.69921875,20759.69921875,11958
20759.69921875,20838.0,20751.0,20780.0,20780.0,2903
20645.849609375,20800.0,20471.099609375,20636.400390625,20636.400390625,0
20628.44921875,20628.44921875,20430.599609375,20430.599609375,20430.599609375,3094
20440.400390625,20480.55078125,20311.19921875,20348.099609375,20348.099609375,2729
20348.05078125,20448.80078125,20316.0,20448.80078125,20448.80078125,2252
20447.94921875,20524.19921875,20417.5,20519.400390625,20519.400390625,1693
20518.0,20745.099609375,20496.69921875,20711.94921875,20711.94921875,6894
20698.150390625,20711.0,20550.05078125,20679.05078125,20679.05078125,3009
20610.0,20674.05078125,20400.0,20525.5,20525.5,0
20535.0,20568.650390625,20498.0,20558.75,20558.75,2435
20550.0,20658.150390625,20550.0,20582.5,20582.5,2675
20610.0,20697.849609375,20571.25,20660.0,20660.0,2135
20647.25,20740.0,20531.94921875,20684.94921875,20684.94921875,3660
20671.94921875,20681.900390625,20552.5,20611.05078125,20611.05078125,4604
20613.05078125,20709.94921875,20613.0,20652.349609375,20652.349609375,2141
20622.0,20733.400390625,20539.75,20705.849609375,20705.849609375,0
20719.94921875,20803.94921875,20710.0,20788.0,20788.0,1954
20792.0,20925.0,20792.0,20903.0,20903.0,3604
20900.0,21024.80078125,20835.80078125,21013.80078125,21013.80078125,4431
21013.69921875,21129.0,20982.0,21066.55078125,21066.55078125,5172
21066.55078125,21075.0,20965.0,21015.0,21015.0,4700
21002.150390625,21060.05078125,21000.05078125,21023.5,21023.5,2151
21150.0,21350.05078125,20972.599609375,21262.900390625,21262.900390625,0
21282.599609375,21375.0,21251.75,21347.05078125,21347.05078125,3138
21345.55078125,21430.150390625,21298.0,21392.05078125,21392.05078125,3393
21389.650390625,21622.0,20796.349609375,20846.5,20846.5,41200
20887.349609375,20894.69921875,20057.94921875,20455.05078125,20455.05078125,38285
20466.30078125,20661.69921875,20383.0,20396.69921875,20396.69921875,15259
20398.849609375,20429.0,20367.900390625,20415.44921875,20415.44921875,5159
20425.400390625,20714.900390625,20255.099609375,20300.5,20300.5,0
20315.75,20548.30078125,20175.44921875,20476.5,20476.5,12277
20464.19921875,20509.94921875,20300.0,20507.69921875,20507.69921875,6811
20507.0,20560.5,20448.69921875,20547.55078125,20547.55078125,4262
20547.55078125,20547.55078125,20410.0,20494.94921875,20494.94921875,4377
20491.0,20547.55078125,20480.05078125,20519.900390625,20519.900390625,6654
20508.349609375,20531.94921875,20415.80078125,20498.0,20498.0,5304
20600.0,20848.25,20555.55078125,20752.94921875,20752.94921875,0
20741.150390625,20774.400390625,20650.5,20675.19921875,20675.19921875,3062
20681.5,20737.150390625,20656.0,20714.849609375,20714.849609375,1988
20704.0,20818.0,20699.55078125,20732.94921875,20732.94921875,2804
20740.0,20948.94921875,20712.599609375,20944.900390625,20944.900390625,7792
20944.900390625,20975.0,20900.69921875,20975.0,20975.0,5532
20970.05078125,20985.150390625,20911.400390625,20947.0,20947.0,2704
20897.44921875,21032.849609375,20810.599609375,20861.0,20861.0,0
20861.94921875,21025.0,20828.30078125,21005.099609375,21005.099609375,3552
21005.05078125,21270.25,20970.44921875,21269.0,21269.0,7354
21272.25,21288.900390625,21136.0,21179.0,21179.0,4700
21188.80078125,21230.0,21169.05078125,21184.599609375,21184.599609375,1967
